title,price,preprice,discount,url,brand,sku,main_material,gender
ADIDAS IDAS LIT48 Advantage Base Tennis Shoes - Core Black,4153.0,5089.0,0.0018,https://www.jumia.com.eg/adidas-idas-lit48-advantage-base-tennis-shoes-core-black-51878567.html,adidas,AD537FS19LJJBNAFAMZ,mixed,Unisex
ADIDAS ADIDAS Vl Court 3.0 Shoes Sportswear Shoes - White,3215.0,5499.0,0.0042,https://www.jumia.com.eg/adidas-adidas-vl-court-3.0-shoes-sportswear-shoes-white-131457215.html,adidas,AD537FS2I2CUTNAFAMZ,leather,Unisex
ADIDAS LIT48 Advantage Base Tennis Shoes - Ftwr White,4155.0,5089.0,0.0018,https://www.jumia.com.eg/adidas-lit48-advantage-base-tennis-shoes-ftwr-white-51878610.html,adidas,AD537FS0106BRNAFAMZ,textile,Unisex
Nike Force 1 07 Nddc Sportswear Shoes,9574.0,11259.0,0.0015,https://www.jumia.com.eg/nike-force-1-07-nddc-sportswear-shoes-131477453.html,nike,NI948FS28NR1HNAFAMZ,synthetic,Unisex
ADIDAS IDAS Women Vl Court 3.0 Shoes -White,3178.5,5499.0,0.0043,https://www.jumia.com.eg/adidas-idas-women-vl-court-3.0-shoes-white-130482901.html,adidas,AD537FS1U1KWJNAFAMZ,leather,Men
ADIDAS Grand Court Lifestyle Tennis Lace-Up Shoes-FZ6158,2999.0,2999.0,0.0,https://www.jumia.com.eg/adidas-grand-court-lifestyle-tennis-lace-up-shoes-fz6158-133740907.html,adidas,AD537FS2TR2XPNAFAMZ,mixed,Unisex
ADIDAS Ultimashow 2.0 Shoes,2455.0,4199.0,0.0042,https://www.jumia.com.eg/adidas-ultimashow-2.0-shoes-133753130.html,adidas,AD537FS1PEK1HNAFAMZ,textile,Unisex
Skechers Bobs B Flex Lifestyle Shoes-118107-GRY,3968.3,5669.0,0.003,https://www.jumia.com.eg/skechers-bobs-b-flex-lifestyle-shoes-118107-gry-133644252.html,skechers,SK596FS22KFDLNAFAMZ,synthetic,Unisex
ADIDAS Men • Sportswear ADVANTAGE BASE COURT LIFESTYLE SHOES GW9284,2589.0,4999.0,0.0048,https://www.jumia.com.eg/adidas-men-sportswear-advantage-base-court-lifestyle-shoes-gw9284-30616003.html,adidas,AD537FS0HWBOJNAFAMZ,mixed,Men
ADIDAS IDAS Deportivo III Flexible Ground Boots,2799.0,2799.0,0.0,https://www.jumia.com.eg/adidas-idas-deportivo-iii-flexible-ground-boots-132013505.html,adidas,AD537FS2HMEHBNAFAMZ,synthetic,Unisex
